"","from","to","edge_direction","edge_type","frequency"
"7179","Mye56","B22","-->","dd_nl",98
"7190","Mye56","Epi4","-->","dd_nl/pd_nl",39
"7195","Mye56","Mye4","-->","dd_nl/pd_nl",29
"7209","Mye57","Epi14","-->","dd_nl/pd_nl",31
"7222","Mye57","Mye26","-->","dd_nl/pd_nl",57
"7229","Mye57","Mye63","-->","dd_nl/pd_nl",24
"7233","Mye57","Stromal22","-->","dd_nl/pd_nl",53
"7237","Mye57","Stromal43","-->","dd_nl/pd_nl",46
"7312","Mye59","B15","-->","dd_nl/pd_nl",29
"7348","Mye59","Stromal37","-->","dd_nl/pd_nl",26
"7353","Mye59","Stromal62","-->","dd_nl/pd_nl",36
"7386","Mye6","B56","-->","dd_nl/pd_nl",28
"7413","Mye6","Mye4","-->","dd_nl/pd_nl",79
"7415","Mye6","Mye41","-->","dd_nl/pd_nl",33
"7421","Mye6","Mye7","-->","dd_nl/pd_nl",30
"7488","Mye62","Stromal44","-->","dd_nl/pd_nl",31
"7521","Mye63","B11","-->","dd_nl/pd_nl",48
"7531","Mye63","B5","-->","dd_nl/pd_nl",69
"7537","Mye63","Epi36","-->","dd_nl/pd_nl",30
"7571","Mye63","TNK11","-->","dd_nl/pd_nl",49
"7698","Mye7","Mye6","-->","dd_nl/pd_nl",28
"7732","Mye71","B51","-->","dd_nl/pd_nl",25
"7765","Mye71","TNK19","-->","dd_nl/pd_nl",28
"7767","Mye71","TNK44","-->","dd_nl/pd_nl",24
"7770","Mye71","TNK57","-->","dd_nl/pd_nl",33
"7802","Mye72","B35","-->","dd_nl/pd_nl",30
"7825","Mye72","Mye77","-->","dd_nl/pd_nl",87
"7864","Mye73","B23","-->","dd_nl/pd_nl",26
"7868","Mye73","B9","-->","dd_nl/pd_nl",24
"7887","Mye73","TNK26","-->","dd_nl/pd_nl",47
"7935","Mye74","Epi23","-->","dd_nl/pd_nl",22
"8059","Mye8","B12","-->","dd_nl/pd_nl",27
"8081","Mye8","Mye11","-->","dd_nl/pd_nl",48
"8093","Mye8","Mye43","-->","dd_nl/pd_nl",23
"8119","Mye8","TNK20","-->","dd_nl/pd_nl",57
"8172","Mye84","Mye56","-->","dd_nl/pd_nl",57
"8219","Mye9","B42","-->","dd_nl/pd_nl",21
"8243","Mye9","Stromal19","-->","dd_nl/pd_nl",28
"8340","Stromal11","Stromal54","-->","dd_nl/pd_nl",77
"8412","Stromal12","Stromal9","-->","dd_nl/pd_nl",49
"8445","Stromal13","Epi1","-->","dd_nl/pd_nl",21
"8457","Stromal13","Mye12","-->","dd_nl/pd_nl",33
"8504","Stromal13","Stromal61","-->","dd_nl/pd_nl",32
"8620","Stromal14","Mye8","-->","dd_nl/pd_nl",24
"8637","Stromal14","Stromal35","-->","dd_nl/pd_nl",51
"8648","Stromal14","Stromal64","-->","dd_nl/pd_nl",30
"8745","Stromal16","Stromal24","-->","dd_nl/pd_nl",40
"8797","Stromal17","B29","-->","dd_nl/pd_nl",42
"8812","Stromal17","Stromal42","-->","dd_nl/pd_nl",61
"8865","Stromal18","Stromal20","-->","dd_nl/pd_nl",22
"8915","Stromal19","Epi26","-->","dd_nl/pd_nl",21
"8934","Stromal19","Stromal17","-->","dd_nl/pd_nl",24
"8996","Stromal2","Stromal1","-->","dd_nl/pd_nl",65
"9040","Stromal20","Stromal18","-->","dd_nl/pd_nl",62
"9090","Stromal21","Epi32","-->","dd_nl/pd_nl",79
"9093","Stromal21","Epi5","-->","dd_nl/pd_nl",67
"9098","Stromal21","Mye15","-->","dd_nl/pd_nl",32
"9110","Stromal21","Stromal17","-->","dd_nl/pd_nl",44
"9118","Stromal21","Stromal44","-->","dd_nl/pd_nl",46
"9151","Stromal22","Epi75","-->","dd_nl",23
